,Die Verurteilten,Der Pate,Dominion,Mosul,Der Pate 2,The Dark Knight,Schindlers Liste,Pulp Fiction,Berg II,Die zwölf Geschworenen,Der Herr der Ringe: Die Rückkehr des Königs,Inception,Forrest Gump,Zwei glorreiche Halunken,Der Herr der Ringe: Die Gefährten,Fight Club,Earthlings,Einer flog über das Kuckucksnest,Matrix,Der Herr der Ringe: Die zwei Türme,Parasite,Die sieben Samurai,Ist das Leben nicht schön?,Das Leben ist schön,Das Schweigen der Lämmer,Der Soldat James Ryan,Chihiros Reise ins Zauberland,City of God,The Green Mile,Für Sama,Interstellar,Joker,Die besten Jahre,Moderne Zeiten,Lichter der Großstadt,Gladiator,Léon: Der Profi,Whiplash,Ziemlich beste Freunde,Spiel mir das Lied vom Tod,Der König der Löwen,Prestige - Die Meister der Magie,Der Pianist,Avengers: Infinity War,Senna - Genie.Draufgänger.Legende,American History X,Das Salz der Erde,Zurück in die Zukunft,Der große Diktator,1917,Die letzten Glühwürmchen,Samsara,Ayla,Terminator 2: Tag der Abrechnung,Die Bucht,Django Unchained,Mrtav 'ladan,Lebe Deine Träume,Apocalypse Now,Kinder des Olymp,Boulevard der Dämmerung,Your Name.,Memento,Zeugin der Anklage,Oldboy,Der Mann mit der Kamera,Wege zum Ruhm,Es war einmal in Amerika,Prinzessin Mononoke,Das Leben der Anderen,Jäger des verlorenen Schatzes,The Dark Knight Rises,Baum der Wünsche,Die Reue,Das Fenster zum Hof,Shining,Alien: Das unheimliche Wesen aus einer fremden Welt,Lethal Strike,2001: Odyssee im Weltraum,Metropolis,Der Clou,Frau ohne Gewissen,Braveheart,Die Frau die singt - Incendies,Requiem for a Dream,Fahrraddiebe,Die Jagd,Uhrwerk Orange,Clockwork Orange,Die Verdammten,American Beauty,Amadeus,Vergiss mein nicht,Die fabelhafte Welt der Amelie,Kinder des Himmels,Full Metal Jacket,Mein Vater und mein Sohn,Inglourious Basterds,Toy Story 3,Nick Cave & The Bad Seeds,Das Appartement,Für ein paar Dollar mehr,Der unsichtbare Dritte,Komm und sieh',Wer die Nachtigall stört,Du sollst mein Glücksstern sein,Aliens: Die Rückkehr,Citizen Kane,Lawrence von Arabien,Wilde Erdbeeren,Manche mögen's heiß,Urteil von Nürnberg,V wie Vendetta,Asian Godfather - Die Gangs von Wasseypur I + II,L.A. Confidential,Article 15,Batman Begins,Die Reise nach Tokio,Gesprengte Ketten,Alles steht Kopf,Mein Nachbar Totoro,Oben,Casino,Bube Dame König grAS,Bei Anruf Mord,The Wolf of Wall Street,Apollo 11,Swades - Heimat,Alles über Eva,Reporter des Satans,Maschinenpistolen,Stirb langsam,Die Erbin,Der Schatz der Sierra Madre,Free Solo,Das siebente Siegel,Pans Labyrinth,Andrej Rubljow,The Band,Tangerines,Das wandelnde Schloss,Searching for Sugar Man,Erbarmungslos,Der Zirkus,Warrior,Sherlock Junior,Der 13.,Winterschlaf,There Will Be Blood,In ihren Augen,Der Untergang,Junge Rebellen,Goldrausch,Wie ein wilder Stier,A Silent Voice,Klaus,Chungking Express,Durch die Wand,Ben Hur,Stand by Me: Das Geheimnis eines Sommers,Citizenfour,Lohn der Angst,Fanny und Alexander,Virus,Opfer,The Big Lebowski,Der Killerwal,Die Melodie des Meeres,Marriage Story,Rush: Alles für den Sieg,The Help,Catch Me If You Can,Rampenlicht,Schlacht um Algier,Mommy,Spotlight,Der Elefantenmensch,Findet Nemo,Drachenzähmen leicht gemacht,Systemsprenger,Das Cabinet des Dr. Caligari,Kaufen für die Müllhalde,Super 30,Der Fuhrmann des Todes,Mad Max: Fury Road,Die Braut des Prinzen,Prisoners,Sixth Sense,Die Brücke am Kwai,Die Nacht,Wer den Wind sät,Nobody Knows,Es geschah in einer Nacht,Logan: The Wolverine,Die große Illusion,Raum,No Country for Old Men,Der Blade Runner,Blade Runner,Die Faust im Nacken,Million Dollar Baby,Gier nach Geld,Das Leben des Brian,Togo,Der Rest ist schweigen,Little Women,Die durch die Hölle gehen,Der letzte Mann,Nausicaä - Prinzessin aus dem Tal der Winde,Memories of Murder,Der unsichtbare Gast,Hotel Ruanda,Drei Farben - Rot,Amores perros,Shutter Island,Into the Wild,Baahubali,Gran Torino,12 Years a Slave,Reise ins Herz der Finsternis,Der dritte Mann,Love Exposure,Harry Potter und die Heiligtümer des Todes - Teil 2,Vom Winde verweht,Grand Budapest Hotel,Die Spielregel,The Gentlemen,Die rote Laterne,Rote Laterne,Jurassic Park,Sonnenaufgang,Das Verschwinden der Haruhi Suzumiya,Rebecca,Batman und Bill,Napoleon,Manderly,Der General,Stürme,Der Wind,Der Unbeugsame,Der Spiegel,Charles Dickens - Eine Weihnachtsgeschichte,Das Ding aus einer anderen Welt,Tomorrow,Brotherhood,Der König der Affen,Panik,Faust,Die Truman Show,Schildkröten können fliegen,Die Legende vom Ozeanpianisten,The Farthest,Man lebt nur einmal,Im Namen des Vaters,Der eiskalte Engel,The Raid 2,Die Rechnung ging nicht auf,Der Zauberer von Oz,Goldenes Gift,Sing Street,Das Comeback,Blood Diamond,Die Volksschule,Guardians of the Galaxy,Die Schöne und das Biest,Die kleinen Füchse,Die Teuflischen,Laura,Infernal Affairs,Vor dem Regen,Solange ein Herz schlägt,Ein Herz und eine Krone,La La Land
2019-10-01,0,10,29,0,8,5,28,5,0,0,7,25,39,64,0,67,30,0,64,10,5,0,0,4,2,3,12,30,1,0,37,11,15,38,0,4,86,2,38,17,24,0,35,30,7,30,7,4,0,15,0,61,88,82,36,14,0,0,14,0,0,0,51,0,29,0,0,0,21,2,44,3,0,0,40,20,0,0,0,53,3,0,15,0,13,49,10,0,30,0,46,53,77,40,0,43,0,4,30,0,50,0,0,0,0,0,5,0,0,0,76,0,32,55,0,0,22,0,3,37,14,35,46,0,0,10,30,0,0,0,0,2,0,0,14,0,27,0,39,0,7,0,0,55,9,0,5,52,0,0,3,0,29,52,5,43,53,4,26,0,0,0,0,56,9,20,53,0,0,0,80,2,29,0,28,59,0,14,10,82,0,0,20,0,25,5,35,6,11,23,0,25,0,0,0,58,38,81,34,0,28,0,11,45,0,10,40,0,0,0,23,0,59,0,4,43,70,32,22,0,11,0,0,15,25,76,38,79,50,10,26,0,34,0,27,0,23,22,19,0,75,0,4,27,45,0,100,60,0,0,0,0,0,31,0,0,0,20,0,0,14,32,0,3,5,0,77,59,0,0,0,0,37
2019-10-02,0,14,22,48,8,4,34,9,0,0,0,49,30,33,6,49,31,0,66,15,6,0,0,6,4,7,11,46,3,0,38,13,0,0,0,6,0,2,33,23,60,15,27,100,7,31,0,4,46,21,0,0,41,0,16,22,0,0,34,0,0,0,34,0,61,0,0,23,11,5,45,3,0,0,0,21,50,41,19,66,3,0,28,48,27,0,7,33,43,35,55,67,30,25,0,53,0,10,62,0,0,0,32,0,25,0,0,0,1,0,0,50,39,53,0,0,44,0,0,57,0,33,55,0,0,14,22,0,0,0,0,3,0,0,12,0,41,0,58,0,7,47,0,38,10,0,2,36,0,0,2,0,34,0,0,38,0,4,27,0,0,0,0,49,9,21,0,0,0,0,65,3,30,0,34,63,0,21,14,93,0,0,30,0,26,11,60,3,0,20,0,26,0,6,0,48,29,0,48,91,0,0,16,40,0,17,42,45,0,0,24,99,30,0,4,32,72,16,23,0,24,88,0,15,17,0,44,81,62,17,34,0,28,0,14,91,41,56,21,0,48,4,0,53,57,0,40,61,0,0,0,0,54,48,0,45,0,82,0,100,0,33,0,3,6,0,0,45,0,0,0,0,46
2019-10-03,1,11,28,0,18,8,31,9,94,86,0,60,50,70,9,26,33,37,50,0,8,0,0,5,5,3,100,33,2,0,89,18,24,0,0,6,94,1,51,38,88,0,100,31,7,17,8,6,48,43,92,22,79,0,34,15,0,0,26,0,0,0,59,34,0,0,0,50,31,9,72,3,0,0,39,34,53,57,0,68,4,0,48,0,13,0,13,35,33,57,16,63,21,91,0,50,0,8,44,0,54,0,33,0,0,0,0,21,1,88,0,0,34,53,0,34,35,0,0,100,100,41,71,0,0,19,33,0,0,0,0,3,52,0,9,0,29,0,67,0,100,0,0,50,11,96,6,45,0,17,5,0,28,0,8,31,0,4,19,87,0,0,0,50,7,29,58,0,0,24,64,4,31,0,42,56,66,17,28,100,0,97,54,0,41,0,44,4,0,28,0,36,0,0,0,53,41,0,72,0,31,0,23,48,0,19,44,0,0,0,100,0,48,58,8,40,0,52,74,0,0,0,0,29,45,0,31,85,47,23,33,0,40,0,29,0,43,36,25,0,75,0,0,57,89,0,43,75,33,0,0,0,57,34,0,0,0,53,0,0,15,35,0,4,8,93,0,48,0,0,0,0,43
2019-10-04,1,14,9,55,9,7,29,7,0,0,0,53,62,67,6,70,32,35,64,10,8,0,0,5,4,6,44,0,2,0,72,23,15,0,0,5,0,3,25,28,43,0,27,51,9,21,0,4,46,55,45,36,17,0,43,37,0,0,23,53,0,0,42,100,0,0,0,24,11,6,0,2,0,0,56,25,0,82,20,73,7,0,17,48,19,0,14,51,21,0,24,70,30,42,0,54,0,13,64,0,0,0,32,0,25,0,5,0,1,0,0,0,0,51,0,0,28,0,0,39,32,34,57,33,0,7,22,0,0,0,0,2,0,0,17,0,65,0,58,0,6,48,0,29,38,0,6,50,0,16,4,0,24,0,5,42,0,6,18,0,0,0,0,47,9,21,0,0,2,23,71,5,30,0,41,73,0,12,20,87,0,0,31,0,40,7,24,5,0,17,0,40,0,0,0,55,20,85,57,0,30,0,17,59,0,11,0,0,27,0,24,50,62,0,4,49,0,33,24,0,12,0,0,16,78,0,30,0,59,17,28,0,37,0,18,0,30,38,20,0,67,6,5,30,59,0,82,57,0,0,0,56,0,66,0,46,0,96,0,0,15,67,91,5,7,0,82,60,0,0,0,0,42
2019-10-05,3,19,60,42,10,8,33,11,0,0,9,54,46,0,7,57,35,0,53,12,5,0,0,5,3,0,21,71,2,0,67,27,17,68,69,7,0,1,35,28,48,0,77,67,16,66,9,8,53,71,100,37,48,98,27,76,0,0,43,0,0,0,56,37,35,0,0,0,30,6,0,2,0,0,63,28,0,47,0,60,10,0,43,0,10,0,22,0,36,41,45,53,23,47,0,40,0,19,36,61,60,0,0,0,28,0,5,0,1,0,0,0,33,49,0,0,13,0,4,44,12,45,65,0,46,16,20,0,0,0,0,2,0,0,15,89,63,0,69,0,7,0,40,43,24,0,6,41,0,18,4,0,50,62,6,35,0,9,41,0,0,2,0,47,11,24,62,0,0,0,75,3,34,0,36,64,71,19,19,79,0,0,23,0,30,18,82,5,7,27,0,45,0,0,0,50,56,0,87,0,34,0,19,64,0,8,0,0,30,97,55,58,35,0,6,22,82,76,0,0,18,0,98,21,39,0,85,0,63,20,46,0,39,0,23,0,34,35,18,0,58,0,0,37,84,0,88,48,0,0,0,63,62,0,0,53,0,100,0,0,16,56,0,6,6,0,0,46,0,0,0,45,35
2019-10-06,3,20,52,39,9,11,24,6,0,0,8,58,29,0,6,53,33,74,49,11,6,0,0,6,7,0,17,67,2,0,66,42,16,42,0,6,0,2,36,24,50,17,43,67,9,34,0,6,49,58,0,23,45,0,26,87,0,0,26,0,0,0,44,35,33,0,0,25,21,100,49,2,0,73,29,29,54,44,32,62,4,0,24,0,0,0,18,71,13,38,17,59,21,80,0,32,0,19,56,58,0,0,0,0,27,0,5,22,0,90,0,0,35,63,0,35,24,0,0,41,23,39,56,35,0,18,24,49,0,0,84,3,0,0,24,84,59,99,56,0,8,0,0,34,19,0,6,48,82,0,9,0,62,0,5,35,0,4,58,0,0,0,0,52,13,37,59,0,0,0,84,4,0,0,40,74,0,8,35,78,0,0,51,0,28,9,70,3,6,21,0,69,0,6,0,58,21,0,71,0,32,0,18,58,0,9,45,48,28,0,77,0,33,0,5,27,77,35,37,0,13,0,91,26,100,0,32,88,56,28,39,0,48,0,30,0,19,37,33,0,69,4,0,46,41,0,87,78,67,0,0,59,0,34,73,0,0,81,0,0,77,35,0,5,7,0,0,45,0,0,0,84,33
2019-10-07,2,13,30,0,8,9,41,4,87,81,15,30,45,0,6,29,0,0,63,0,5,0,0,4,0,6,7,31,1,0,46,44,15,0,0,7,0,2,18,13,34,0,27,29,7,23,7,6,0,30,43,83,65,0,47,58,0,0,22,0,0,0,22,32,59,0,0,35,0,17,0,4,100,100,0,25,0,40,19,60,3,0,33,0,9,0,16,43,20,35,23,64,59,24,0,43,0,3,31,53,0,0,31,0,0,80,5,0,2,82,0,0,0,57,0,0,11,0,0,33,21,37,49,32,0,9,17,45,0,0,0,1,0,94,12,0,45,0,47,0,8,47,0,19,10,0,5,44,0,0,3,0,33,0,5,45,0,4,24,0,0,1,0,60,14,30,54,89,0,0,51,2,0,0,31,49,0,11,11,72,0,0,20,0,25,0,53,3,0,22,0,25,0,6,0,62,29,0,42,0,0,0,11,39,0,7,0,45,0,82,47,98,60,0,4,56,0,0,0,0,12,0,0,13,17,0,58,0,59,11,31,0,35,0,15,0,17,30,22,0,81,0,0,27,23,0,40,63,30,0,0,0,53,0,0,45,0,54,0,0,14,32,0,3,4,0,78,48,0,0,0,0,40
2019-10-08,1,6,25,0,8,7,14,4,0,0,0,25,49,32,9,43,60,33,69,10,5,0,0,5,2,3,9,30,1,80,62,47,15,38,0,3,86,3,24,17,34,0,26,24,9,15,7,3,0,62,42,41,48,0,21,35,0,0,29,0,0,0,36,0,59,0,0,46,11,3,0,1,0,0,0,15,48,0,19,76,5,0,22,0,18,0,20,0,24,0,15,53,45,48,0,17,0,100,30,52,50,0,0,49,0,0,100,20,0,0,0,0,19,54,0,0,16,0,3,32,14,43,46,0,0,7,17,0,0,0,0,5,0,0,10,0,53,0,48,0,5,0,0,25,10,0,3,52,0,16,4,0,23,0,5,47,0,10,18,0,54,0,0,52,9,20,53,0,0,0,72,3,29,0,33,56,100,14,16,66,76,0,0,0,74,5,29,7,6,22,0,25,0,0,0,57,51,0,39,0,0,0,11,45,0,11,0,88,25,0,70,48,44,0,6,56,70,16,0,0,11,0,0,12,17,0,0,0,76,68,29,0,32,0,21,0,57,29,11,0,62,4,0,34,37,0,74,58,30,0,0,0,0,0,0,44,0,43,0,0,28,32,0,2,8,0,0,74,0,50,0,0,50
2019-10-09,1,15,30,36,16,10,100,4,0,0,8,43,39,65,6,33,30,67,73,0,4,0,0,5,2,3,20,0,1,0,43,55,0,38,0,8,0,2,27,13,39,0,61,12,7,41,7,5,0,60,0,41,81,0,31,43,0,0,36,51,0,0,36,0,29,84,0,23,14,4,66,3,0,0,53,20,0,0,0,68,3,0,33,46,0,0,12,65,32,0,0,57,29,32,0,40,0,27,71,52,50,14,0,75,0,0,12,20,0,0,0,0,32,50,0,31,38,0,0,19,0,34,47,0,0,20,17,0,0,0,76,3,0,0,19,0,27,0,44,81,4,0,0,25,12,0,2,59,30,16,3,0,10,53,5,47,0,0,18,0,54,0,0,60,36,30,0,88,0,0,51,2,29,0,41,59,0,17,18,79,0,0,20,0,38,0,26,3,0,24,0,25,0,0,0,61,19,81,39,0,0,0,32,41,0,0,0,0,0,0,23,0,0,54,4,37,0,72,0,0,11,0,0,36,0,0,57,0,43,21,22,0,34,0,16,0,17,59,11,80,74,0,4,28,56,0,87,65,30,0,0,0,0,31,0,0,0,49,0,0,28,0,0,3,6,0,0,58,0,0,0,0,75
2019-10-10,5,11,30,0,13,12,58,100,86,82,8,33,34,65,0,44,31,52,79,10,4,0,0,2,1,3,28,31,1,82,49,75,30,0,0,7,0,2,30,9,47,0,53,17,8,31,7,4,46,46,0,35,66,0,32,58,0,0,29,51,0,87,22,0,30,0,0,23,7,5,45,4,0,0,0,23,100,0,19,76,3,0,28,0,27,49,10,0,21,0,46,55,30,49,0,47,0,15,31,53,0,0,31,0,0,0,15,30,2,0,79,0,19,53,0,32,50,0,0,24,21,38,51,98,0,14,13,0,92,0,77,3,0,0,13,0,54,0,49,0,4,48,0,31,12,90,5,42,30,0,4,0,46,0,0,42,0,4,18,82,0,0,0,57,100,34,0,0,0,23,56,3,29,0,39,42,0,12,24,87,0,0,20,0,26,5,42,3,0,19,34,51,0,0,0,60,48,82,50,0,29,0,16,50,0,13,0,0,0,0,23,50,61,0,3,32,72,33,0,0,0,0,0,9,17,0,29,0,31,16,30,0,40,0,22,0,23,45,24,0,100,0,0,41,57,0,72,65,0,0,0,0,0,31,68,45,0,27,0,0,28,49,0,2,5,0,0,40,50,0,0,39,72
